,Symptom
3380,"Decreased appetite, Fatigue, Increased sensitivity to heat and Muscle weakness"
3381,"Decreased appetite, Fatigue, Lightheadedness and Nausea or vomiting"
3382,"Decreased appetite, Fatigue, Loss of balance and Loss of coordination"
3383,"Decreased appetite, Fatigue, Missed period and Nausea or vomiting"
3384,"Decreased appetite, Fatigue, Muscle weakness and Nausea or vomiting"
3385,"Decreased appetite, Fatigue, Nausea or vomiting and Tires quickly"
3386,"Decreased appetite, Fatigue, Nausea or vomiting, Generalized weakness"
3387,"Decreased appetite, Fatigue, Nausea or vomiting, Weight loss"
3388,"Decreased appetite, Fatigue, Pain or discomfort and Yellow skin"
3389,"Decreased appetite, Fatigue, Pale skin, Weight loss"
3390,"Decreased appetite, Fatigue, Sensitivity to cold and Loss of coordination"
3391,"Decreased appetite, Fatigue, Shortness of breath and Flushed skin"
3392,"Decreased appetite, Fatigue, Tires quickly and Weight loss (unintentional)"
3393,"Decreased appetite, Fatigue, Weight loss"
3394,"Decreased appetite, Feeling faint, Itching or burning and Loss of coordination"
3395,"Decreased appetite, Fever and Pale skin"
3396,"Decreased appetite, Fever and Weight loss (unintentional)"
3397,"Decreased appetite, Fever, Gum sores and Nausea or vomiting"
3398,"Decreased appetite, Fever, Shaking chills (rigors), Generalized weakness"
3399,"Decreased appetite, Gum sores, Jaw locking and Pain or discomfort"
3400,"Decreased appetite, Headache, Lack of motivation and Pain"
3401,"Decreased appetite, Headache, Nausea or vomiting and Tires quickly"
3402,"Decreased appetite, Headache, Pain or discomfort and Pain when moving eyes"
3403,"Decreased appetite, Hyperactive behavior, Increased thirst and Joint aches"
3404,"Decreased appetite, Low blood pressure and Weight loss (unintentional)"
3405,"Decreased appetite, Mucus in eyes, Drainage or pus and Excessive crying"
3406,"Decreased appetite, Nausea or vomiting and Stomach cramps"
3407,"Decreased appetite, Nausea or vomiting and Upset stomach"
3408,"Decreased appetite, Nausea or vomiting and Weight loss (unintentional)"
3409,"Decreased appetite, Nausea or vomiting, Pain and Upset stomach"
3410,"Decreased appetite, Night sweats, Weight loss"
3411,"Decreased appetite, Pain, Weight loss"
3412,"Decreased appetite, Pale skin and Weight loss (unintentional)"
3413,Decreased Bone Density (Osteopenia)
3414,Decreased night vision and Enlarged (dilated) pupils
3415,Decreased night vision and Sensitive to light
3416,Decreased smell and Hearing loss
3417,"Decreased smell, Decreased taste, Depressed mood and Difficulty swallowing"
3418,"Decreased smell, Ear ache, Hearing loss and Nasal congestion"
3419,"Decreased smell, Mucus in eyes, Eye irritation and Gritty eyes"
3420,"Decreased smell, Nasal symptoms, one red eye and Strange smell or taste"
3421,Decreased taste and Dry mouth
3422,Decreased taste and Swollen tongue
3423,"Decreased taste, Difficulty swallowing, Hoarse voice and Pain or discomfort"
3424,"Decreased taste, Dry mouth, Muscle twitching (painless) and Numbness or tingling"
3425,"Decreased taste, Ear ache, Metallic taste and Sore throat"
3426,"Decreased taste, Mouth sores, Red gums and White patches on tongue"
3427,"Decreased taste, Numbness or tingling, Pain or discomfort and Red gums"
3428,"Decreased taste, Sore tongue and Soreness or burning inside of mouth"
3429,Decreased tears when crying and Discharge or mucus in eyes
3430,Decreased urination and Fever
3431,Decreased urination and Increased thirst
3432,Decreased urination and Nausea or vomiting
3433,Decreased urination and Vaginal bleeding between periods
3434,Decreased urination and Vaginal discharge
3435,"Decreased urination, Difficulty urinating, Frequent urination, Slow urine flow"
3436,"Decreased urination, Itching or burning and Vaginal discharge"
3437,Degenerative Disc Disease Symptoms and Signs
3438,Dehydration Symptoms and Signs
3439,Delirium
3440,Delusions
3441,Delusions and Memory problems
3442,"Delusions, Disorientation, Flickering lights in vision and Hallucinations"
3443,"Delusions, Disorientation, Hallucinations and Hearing voices"
3444,"Delusions, Dizziness, Fever and Headache"
3445,"Delusions, Easily distracted, Impulsive behavior and Inappropriate behavior"
3446,Dementia Symptoms and Signs
3447,Dengue Symptoms and Signs
3448,Depigmentation of Skin
3449,Depressed mood and Early morning waking
3450,Depressed mood and Fainting
3451,Depressed mood and Nosebleed
3452,Depressed mood and Personality changes
3453,Depressed mood and Runny nose
3454,Depressed mood and Shaking hands or tremor
3455,Depressed mood and Spinning sensation
3456,Depressed mood and Vaginal bleeding between periods
3457,"Depressed mood, Diarrhea, Low self-esteem and Overweight"
3458,"Depressed mood, Difficulty sleeping, Drinking excessive fluids and Hives"
3459,"Depressed mood, Discharge or mucus in eyes, Eye irritation and Eyelid redness"
3460,"Depressed mood, Dizziness, Headache and Involuntary head turning or twisting"
3461,"Depressed mood, Drowsiness, Fatigue and Frequent urination"
3462,"Depressed mood, Dry skin, Fatigue and Forgetfulness"
3463,"Depressed mood, Early morning waking, Excessive sweating and Fatigue"
3464,"Depressed mood, Easily distracted, Headache and Lack of motivation"
3465,"Depressed mood, Easy bruising, Fatigue and Increased thirst"
3466,"Depressed mood, Eye irritation, Headache and Itching or burning"
3467,"Depressed mood, Fearful, Giddiness and Hyperactive behavior"
3468,"Depressed mood, Fits of rage, Impulsive behavior and Inappropriate behavior"
3469,"Depressed mood, Headache, Mood swings and Nausea or vomiting"
3470,"Depressed mood, Headache, Mood swings and Sadness"
3471,"Depressed mood, Impaired social skills, Impulsive behavior and Lack of emotion"
3472,"Depressed mood, Numbness or tingling (Face) and Numbness or tingling (Leg)"
3473,Depression
3474,Detached Retina (Retinal Detachment Symptoms and Signs)
3475,Detrusor Contraction (Bladder Spasms)
3476,Developmental delays and Slow growth (failure to thrive)
3477,"Developmental delays, Excessive sweating, Fatigue and Hyperactive behavior"
3478,Deviated Septum Symptoms and Signs
3479,Di-Dn
3480,Diabetes Symptoms and Signs
3481,Diabetic Eye Disease Symptoms and Signs
3482,Diabetic Ketoacidosis (DKA) Symptoms and Signs
3483,Diabetic Neuropathy Symptoms and Signs
3484,Diaper Rash Symptoms and Signs
3485,Diarrhea
3486,Diarrhea and Bleeding between periods
3487,Diarrhea and Dizziness
3488,Diarrhea and Dry mouth
3489,Diarrhea and Excessive sweating
3490,Diarrhea and Fainting
3491,Diarrhea and Fatigue
3492,Diarrhea and Feeling faint
3493,Diarrhea and Frequent urination
3494,Diarrhea and Hair loss
3495,Diarrhea and Headache
3496,Diarrhea and Hearing loss
3497,Diarrhea and Heartburn
3498,Diarrhea and Hives
3499,Diarrhea and Hot flashes
3500,Diarrhea and Hunger
3501,Diarrhea and Joint pain
3502,Diarrhea and Lightheadedness
3503,Diarrhea and Metallic taste
3504,Diarrhea and Missed period
3505,Diarrhea and Mouth sores
3506,Diarrhea and Muscle weakness
3507,Diarrhea and Nasal congestion
3508,Diarrhea and Night sweats
3509,Diarrhea and Nosebleed
3510,Diarrhea and Numbness or tingling
3511,Diarrhea and Pain
3512,Diarrhea and Pain with urination
3513,Diarrhea and Runny nose
3514,Diarrhea and Seizures (uncontrollable jerking of limbs)
3515,Diarrhea and Shaking
3516,Diarrhea and Shortness of breath
3517,Diarrhea and Skin bumps
3518,Diarrhea and Skin rash
3519,Diarrhea and Sneezing
3520,Diarrhea and Sore throat
3521,Diarrhea and Stiff neck
3522,Diarrhea and Swelling
3523,Diarrhea and Testicular pain
3524,Diarrhea and Thin (pencil) stools
3525,Diarrhea and Throat tightness
3526,Diarrhea and Upset stomach
3527,Diarrhea and Vaginal discharge
3528,Diarrhea and Watery mouth
3529,Diarrhea and Weight gain
3530,Diarrhea and White patches on tongue
3531,"Diarrhea, Difficulty falling asleep, insomnia and Staying asleep"
3532,"Diarrhea, Difficulty sleeping, Dizziness and Headache"
3533,"Diarrhea, Difficulty staying awake during day, Dry skin and Fatigue"
3534,"Diarrhea, Difficulty swallowing and Pain or discomfort"
3535,"Diarrhea, Difficulty urinating, Frequent urge to urinate and Frequent urination"
3536,"Diarrhea, Dizziness and Lightheadedness"
3537,"Diarrhea, Dizziness and Nausea or vomiting"
3538,"Diarrhea, Dizziness and Upset stomach"
3539,"Diarrhea, Dizziness, Dry mouth and Nausea or vomiting"
3540,"Diarrhea, Dizziness, Excessive sweating and Nausea or vomiting"
3541,"Diarrhea, Dizziness, Fainting and Nausea or vomiting"
3542,"Diarrhea, Dizziness, Fatigue and Feeling faint"
3543,"Diarrhea, Dizziness, Fatigue and Headache"
3544,"Diarrhea, Dizziness, Fatigue and Lightheadedness"
3545,"Diarrhea, Dizziness, Fatigue and Loss of balance"
3546,"Diarrhea, Dizziness, Fatigue and Nausea or vomiting"
3547,"Diarrhea, Dizziness, Fatigue and Pain"
3548,"Diarrhea, Dizziness, Feeling faint and Hot flashes"
3549,"Diarrhea, Dizziness, Fever and Headache"
3550,"Diarrhea, Dizziness, Frequent bowel movements and Frequent bowel movement"
3551,"Diarrhea, Dizziness, Headache and Lightheadedness"
3552,"Diarrhea, Dizziness, Headache and Nausea or vomiting"
3553,"Diarrhea, Drainage or pus, Foul smelling stools and Frequent bowel movements"
3554,"Diarrhea, Drainage or pus, Nasal congestion and Runny nose"
3555,"Diarrhea, Drinking excessive fluids, Dry mouth and Increased thirst"
3556,"Diarrhea, Drowsiness and Headache"
3557,"Diarrhea, Drowsiness, Headache and Nausea or vomiting"
3558,"Diarrhea, Drowsiness, Nausea or vomiting and Pain or discomfort"
3559,"Diarrhea, Dry mouth, Dry skin and Fatigue"
3560,"Diarrhea, Dry mouth, Headache and Metallic taste in mouth"
3561,"Diarrhea, Dry mouth, Increased thirst and Pain"
3562,"Diarrhea, Dry skin, Feeling faint and Flaking skin"
3563,"Diarrhea, Ear ache and Pain"
3564,"Diarrhea, Ear ache, Foul smelling stools and Frequent bowel movements"
3565,"Diarrhea, Easy bruising, Fatigue and Excessive gas"
3566,"Diarrhea, Enlarged glands, Fatigue and Headache"
3567,"Diarrhea, Excessive gas, Nausea or vomiting and Pain"
3568,"Diarrhea, Excessive sweating, Feeling faint and Hot flashes"
3569,"Diarrhea, Excessive sweating, Flushed skin and Nausea or vomiting"
3570,"Diarrhea, Excessive sweating, Frequent bowel movements"
3571,"Diarrhea, Excessive sweating, Muscle cramps"
3572,"Diarrhea, Excessive sweating, Nausea or vomiting and Pain"
3573,"Diarrhea, Fainting, Frequent urination and Lightheadedness"
3574,"Diarrhea, Fainting, Hot flashes and Low blood pressure"
3575,"Diarrhea, Fatigue and Heartburn"
3576,"Diarrhea, Fatigue and Joint pain"
3577,"Diarrhea, Fatigue and Night sweats"
3578,"Diarrhea, Fatigue and Sore throat"
3579,"Diarrhea, Fatigue and Swelling"
3580,"Diarrhea, Fatigue and Upset stomach"
3581,"Diarrhea, Fatigue, Excessive gas and Itching or burning"
3582,"Diarrhea, Fatigue, Fever and Pain"
3583,"Diarrhea, Fatigue, Foul smelling stools and Frequent bowel movements"
3584,"Diarrhea, Fatigue, Foul smelling stools and Muscle cramps or spasms (painful)"
3585,"Diarrhea, Fatigue, Frequent bowel movements and Headache"
3586,"Diarrhea, Fatigue, Frequent bowel movements and Hunger"
3587,"Diarrhea, Fatigue, Generalized weakness"
3588,"Diarrhea, Fatigue, Headache and Nausea or vomiting"
3589,"Diarrhea, Fatigue, Headache and Nosebleed"
3590,"Diarrhea, Fatigue, Headache and Numbness or tingling"
3591,"Diarrhea, Fatigue, Hot flashes and Nausea or vomiting"
3592,"Diarrhea, Fatigue, Lightheadedness and Nausea or vomiting"
3593,"Diarrhea, Fatigue, Muscle weakness and Nausea or vomiting"
3594,"Diarrhea, Fatigue, Nausea or vomiting and Pain"
3595,"Diarrhea, Fatigue, Nausea or vomiting and Tires quickly"
3596,"Diarrhea, Fatigue, Nausea or vomiting and Upset stomach"
3597,"Diarrhea, Fatigue, Weight loss"
3598,"Diarrhea, Fever and Night sweats"
3599,"Diarrhea, Fever, Headache and Itching or burning"
3600,"Diarrhea, Fever, Headache and Sore throat"
3601,"Diarrhea, Fever, Joint pain and Muscle cramps or spasms (painful)"
3602,"Diarrhea, Fever, Nausea or vomiting and Pain or discomfort"
3603,"Diarrhea, Fever, Nausea or vomiting and Sore throat"
3604,"Diarrhea, Foul smelling stools and Excessive gas"
3605,"Diarrhea, Foul smelling stools and Frequent bowel movements"
3606,"Diarrhea, Foul smelling stools and Nausea or vomiting"
3607,"Diarrhea, Foul smelling stools, Excessive gas and Nausea or vomiting"
3608,"Diarrhea, Foul smelling stools, Excessive gas and Pain"
3609,"Diarrhea, Foul smelling stools, Frequent bowel movements and Nausea or vomiting"
3610,"Diarrhea, Foul smelling stools, Frequent urination and Excessive gas"
3611,"Diarrhea, Foul smelling stools, Nausea or vomiting and Pain or discomfort"
3612,"Diarrhea, Frequent bowel movements, Heartburn and Excessive gas"
3613,"Diarrhea, Frequent bowel movements, purging, Muscle cramps"
3614,"Diarrhea, Frequent urination and Pain"
3615,"Diarrhea, Frequent urination, Itching or burning and Pain"
3616,"Diarrhea, Generalized weakness"
3617,"Diarrhea, Headache and Metallic taste in mouth"
3618,"Diarrhea, Headache and Nasal congestion"
3619,"Diarrhea, Headache and Pain"
3620,"Diarrhea, Headache and Sore throat"
3621,"Diarrhea, Headache and Stiff neck"
3622,"Diarrhea, Headache and Stomach cramps"
3623,"Diarrhea, Headache and Upset stomach"
3624,"Diarrhea, Headache, Heartburn and Nausea or vomiting"
3625,"Diarrhea, Headache, Joint pain and Swelling"
3626,"Diarrhea, Headache, Muscle cramps, Numbness or tingling"
3627,"Diarrhea, Headache, Nasal congestion and Nausea or vomiting"
3628,"Diarrhea, Headache, Nasal congestion and Pain"
3629,"Diarrhea, Headache, Nausea or vomiting and Pain"
3630,"Diarrhea, Headache, Nausea or vomiting and Painful bowel movements"
3631,"Diarrhea, Headache, Nausea or vomiting and Sore throat"
3632,"Diarrhea, Headache, Nausea or vomiting and Stiff neck"
3633,"Diarrhea, Headache, Nausea or vomiting and Upset stomach"
3634,"Diarrhea, Headache, Pain and Stiff neck"
3635,"Diarrhea, Headache, Pain or discomfort and Runny nose"
3636,"Diarrhea, Heartburn and Nausea or vomiting"
3637,"Diarrhea, Heartburn, Nausea or vomiting and Pain"
3638,"Diarrhea, Heartburn, Nausea or vomiting and Upset stomach"
3639,"Diarrhea, Heavy menstrual bleeding and Pain or discomfort"
3640,"Diarrhea, Hot flashes and Nausea or vomiting"
3641,"Diarrhea, Increased passing gas, Joint pain (Elbow) and Joint pain (Wrist)"
3642,"Diarrhea, Irregular menstrual periods and Vaginal bleeding between periods"
3643,"Diarrhea, Itching or burning and Nausea or vomiting"
3644,"Diarrhea, Itching or burning and Skin rash"
3645,"Diarrhea, Joint aches and Pain"
3646,"Diarrhea, Joint pain (Elbow), Joint pain (Knee (patella)) and Pain or discomfort"
3647,"Diarrhea, Joint pain (Neck (back)), Joint pain (Shoulder) and Joint pain (Hip)"
3648,"Diarrhea, Joint pain (Shoulder), Joint pain (Ankle) and Nausea or vomiting"
3649,"Diarrhea, Joint pain, Nausea or vomiting and Upset stomach"
3650,"Diarrhea, Joint pain, Numbness or tingling and Pain or discomfort"
3651,"Diarrhea, Lightheadedness, Nausea or vomiting and Pain"
3652,"Diarrhea, Missed period and Nausea or vomiting"
3653,"Diarrhea, Muscle cramps"
3654,"Diarrhea, Muscle cramps, Nausea or vomiting"
3655,"Diarrhea, Muscle cramps, Stomach cramps"
3656,"Diarrhea, Nasal congestion, Runny nose and Sore throat"
3657,"Diarrhea, Nausea or vomiting and Nosebleed"
3658,"Diarrhea, Nausea or vomiting and Numbness or tingling"
3659,"Diarrhea, Nausea or vomiting and Pain"
3660,"Diarrhea, Nausea or vomiting and Skin rash"
3661,"Diarrhea, Nausea or vomiting and Swelling"
3662,"Diarrhea, Nausea or vomiting, Numbness or tingling and Pain"
3663,"Diarrhea, Nausea or vomiting, Pounding heart, Rapid heart rate"
3664,"Diarrhea, Nausea or vomiting, Shaking chills (rigors)"
3665,"Diarrhea, Numbness or tingling, Pain or discomfort and Painful bowel movements"
3666,"Diarrhea, Pain and Upset stomach"
3667,"Diarrhea, Pain or discomfort and Vaginal bleeding"
3668,"Diarrhea, Pain or discomfort, Sore throat and Stiff neck"
3669,"Diarrhea, Painful intercourse"
3670,"Diarrhea, Palpitations"
3671,"Diarrhea, Post nasal drip and Sore throat"
3672,"Diarrhea, Rapid heart rate"
3673,"Diarrhea, Red (bloodshot) eyes"
3674,"Diarrhea, Runny nose and Sneezing"
3675,"Diarrhea, Sore throat and Upset stomach"
3676,"Diarrhea, Staying asleep, Early morning waking. Frequent bowel movements"
3677,"Diarrhea, Weight loss"
3678,"Difficult to wake from sleep, Headache, Nasal congestion and Pain or discomfort"
3679,"Difficult to wake up, Hypersomnia, Easily distracted and Fits of rage"
3680,Difficulty breathing and Noisy breathing
3681,Difficulty breathing and Tightness
3682,Difficulty breathing through nose and Swollen tonsils
3683,Difficulty breathing through nose and Wheezing
3684,"Difficulty breathing through nose, Nasal congestion and Watery eyes"
3685,"Difficulty breathing, Dry mouth, Frequent urination and Excessive gas"
3686,"Difficulty breathing, Enlarged glands, Nasal congestion and Pain"
3687,"Difficulty breathing, Feel no air, Hyperventilating, Labored breathing"
3688,"Difficulty breathing, Itching or burning, Nasal congestion and Pain"
3689,"Difficulty breathing, Pain and Sore throat"
3690,"Difficulty breathing, Pain, Runny nose and Sneezing"
3691,"Difficulty concentrate, Easily distracted, Depersonalization, Forgetfulness"
3692,"Difficulty concentrate, Learning disability, solving problems, Easily distracted"
3693,"Difficulty concentrate, Speech problems, Memory problems and Poor concentration"
3694,Difficulty Concentrating
3695,Difficulty concentrating and Disorientation
3696,Difficulty concentrating and Forgetfulness
3697,Difficulty concentrating and Memory problems
3698,Difficulty concentrating and Shaking hands
3699,Difficulty concentrating and Stiff neck
3700,"Difficulty concentrating, Disorientation, Dizziness and Fatigue"
3701,"Difficulty concentrating, Dizziness, Drowsiness and Ear ache"
3702,"Difficulty concentrating, Dizziness, Fainting and Frequent urination"
3703,"Difficulty concentrating, Dizziness, Forgetfulness and Lack of motivation"
3704,"Difficulty concentrating, Dizziness, Headache and Ringing in ears"
3705,"Difficulty concentrating, Dizziness, Lightheadedness and Poor concentration"
3706,"Difficulty concentrating, Dizziness, Lightheadedness and Slow thinking"
3707,"Difficulty concentrating, Easily distracted, Forgetfulness and Memory problems"
3708,"Difficulty concentrating, Easy bruising, Fatigue and Forgetfulness"
3709,"Difficulty concentrating, Fatigue, Feeling faint and Poor concentration"
3710,"Difficulty concentrating, Fatigue, Forgetfulness and Memory problems"
3711,"Difficulty concentrating, Fatigue, Headache and Hot flashes"
3712,"Difficulty concentrating, Forgetfulness, Memory problems and Mood swings"
3713,"Difficulty concentrating, Headache and Memory problems"
3714,"Difficulty concentrating, Headache and Slow thinking"
3715,"Difficulty concentrating, Headache, Sense of impending doom and Sleep walking"
3716,"Difficulty concentrating, Memory problems and Slow thinking"
3717,"Difficulty concentrating, Poor concentration and Slow thinking"
3718,"Difficulty concentrating, Speech problems and Slow thinking"
3719,"Difficulty concentrating, Speech problems, Fatigue and Forgetfulness"
3720,Difficulty falling asleep and Dizziness
3721,Difficulty falling asleep and Frequent urination
3722,Difficulty falling asleep and Irregular heartbeat
3723,Difficulty falling asleep and Missed or late menstrual period
3724,Difficulty falling asleep and Ringing in ears
3725,Difficulty falling asleep and Shaking hands or tremor
3726,"Difficulty falling asleep, Difficulty sleeping, Dizziness and Headache"
3727,"Difficulty falling asleep, Dizziness and Nausea or vomiting"
3728,"Difficulty falling asleep, Dizziness and Spinning sensation"
3729,"Difficulty falling asleep, Dizziness, Lightheadedness, Restless sleep"
3730,"Difficulty falling asleep, Fatigue, Food cravings and Headache"
3731,"Difficulty falling asleep, Feeling faint, Nervousness and Numbness or tingling"
3732,"Difficulty falling asleep, Itching or burning, Restless sleep"
3733,"Difficulty falling asleep, Palpitations"
3734,"Difficulty falling asleep, Rapid heart rate"
3735,Difficulty finding words and Memory problems
3736,Difficulty finding words and Repeats phrases
3737,"Difficulty finding words, Easily distracted, Forgetfulness and Memory problems"
3738,"Difficulty finding words, Enlarged or swollen glands, Headache and Night sweats"
3739,"Difficulty finding words, Fatigue, Forgetfulness and Joint pain"
3740,"Difficulty finding words, Forgetfulness and Memory problems"
3741,"Difficulty finding words, Forgetfulness, Headache and Poor concentration"
3742,Difficulty learning new things and Difficulty solving problems
3743,"Difficulty moving arm, Pain or discomfort and Stiffness or decreased movement"
3744,"Difficulty moving arm, Pain or discomfort and Tenderness to touch"
3745,Difficulty opening mouth and Pain or discomfort
3746,Difficulty opening mouth and Unable to open mouth (jaw)
3747,"Difficulty opening mouth, Difficulty swallowing and Pain"
3748,"Difficulty opening mouth, Difficulty swallowing and Sore throat"
3749,"Difficulty opening mouth, Difficulty swallowing, Jaw locking and Pain"
3750,"Difficulty opening mouth, Difficulty talking, Drooling and Grinding teeth"
3751,"Difficulty opening mouth, Difficulty talking, Drooling and Headache"
3752,"Difficulty opening mouth, Difficulty talking, Gagging and Nausea or vomiting"
3753,"Difficulty opening mouth, Drooling, Drooping eyelid and Ear ache"
3754,"Difficulty opening mouth, Ear ache and Stiffness or decreased movement"
3755,"Difficulty opening mouth, Ear ache, Lump or bulge (Ears) and Lump or bulge (Jaw)"
3756,"Difficulty opening mouth, Enlarged or swollen glands and Pain or discomfort"
3757,"Difficulty opening mouth, Fever, Headache and Jaw locking"
3758,"Difficulty opening mouth, Jaw locking, Lump or bulge and Pain"
3759,"Difficulty opening mouth, Jaw locking, Muscle cramps, Pain"
3760,"Difficulty opening mouth, Jaw locking, Stiffness, Locked jaw"
3761,"Difficulty opening mouth, Lump or bulge and Unable to open mouth (jaw)"
3762,"Difficulty opening mouth, Lump or bulge, Pain or discomfort and Swelling"
3763,"Difficulty opening mouth, Pain or discomfort and Unable to open mouth (jaw)"
3764,"Difficulty opening mouth, Pain or discomfort, Swelling and Swollen gums"
3765,"Difficulty opening mouth, Pain, Swelling, Locked jaw"
3766,Difficulty sleeping and Pressure or heaviness
3767,Difficulty sleeping and Ringing in ears
3768,Difficulty sleeping and Shaking hands or tremor
3769,Difficulty sleeping and Spinning sensation
3770,"Difficulty sleeping, Disorientation, Lack of emotion and Mood swings"
3771,"Difficulty sleeping, Dizziness, Ear ache and Headache"
3772,"Difficulty sleeping, Dizziness, Headache and Itching or burning"
3773,"Difficulty sleeping, Dry eyes, Fatigue and Itching or burning"
3774,"Difficulty sleeping, Enlarged or swollen glands, Headache and Pain or discomfort"
3775,"Difficulty sleeping, Fatigue and Headache"
3776,"Difficulty sleeping, Fatigue and Weight gain"
3777,"Difficulty sleeping, Fatigue, Headache and Increased thirst"
3778,"Difficulty sleeping, Fatigue, Headache and Nausea or vomiting"
3779,"Difficulty sleeping, Headache and Sore throat"
3780,"Difficulty sleeping, Hearing voices, Lack of pleasure and Pulling out hair"
3781,"Difficulty sleeping, Nausea or vomiting, Pain or discomfort and Upset stomach"
3782,Difficulty standing and Fatigue
3783,"Difficulty standing, Difficulty swallowing, Dry mouth and Fatigue"
3784,"Difficulty standing, Dizziness and Loss of balance"
3785,"Difficulty standing, Dizziness and Nausea or vomiting"
3786,"Difficulty standing, Dizziness, Excessive sweating and Feeling faint"
3787,"Difficulty standing, Dizziness, Eyes rolling back and Fatigue"
3788,"Difficulty standing, Dizziness, Feeling faint and Shaking"
3789,"Difficulty standing, Excessive sweating, Loss of coordination and Night sweats"
3790,"Difficulty standing, Fatigue, Muscle weakness and Reduced productivity at work"
3791,"Difficulty standing, Fatigue, Muscle weakness and Shaking"
3792,"Difficulty standing, Feeling faint, Giddiness and Numbness or tingling"
3793,"Difficulty standing, Generalized weakness"
3794,Difficulty starting urine stream and Visible bugs or parasites
3795,"Difficulty starting urine stream, Difficulty urinating and Painful ejaculation"
3796,"Difficulty starting urine stream, Difficulty urinating and Premature ejaculation"
3797,Difficulty staying awake during day and Excessive sweating
3798,Difficulty staying awake during day and Nausea or vomiting
3799,Difficulty staying awake during day and Pain or discomfort
3800,Difficulty staying awake during day and Restless (tossing and turning) sleep
3801,Difficulty staying awake during day and Tires quickly
3802,"Difficulty staying awake during day, Headache and Heartburn"
3803,Difficulty stopping urine stream and Frequent urination
3804,Difficulty stopping urine stream and Pain or discomfort
3805,Difficulty stopping urine stream and Urine leaking (incontinence)
3806,Difficulty swallowing and Headache
3807,Difficulty swallowing and Hoarse voice
3808,Difficulty swallowing and Metallic taste in mouth
3809,Difficulty swallowing and Nasal congestion
3810,Difficulty swallowing and Pain when swallowing
3811,Difficulty swallowing and Ringing in ears
3812,Difficulty swallowing and Shortness of breath
3813,Difficulty swallowing and Skin rash
3814,Difficulty swallowing and Slurred speech
3815,Difficulty swallowing and Stiff neck
3816,Difficulty swallowing and Swollen lips
3817,Difficulty swallowing and Thick saliva or mucus
3818,Difficulty swallowing and Throat tightness
3819,Difficulty swallowing and Weakness
3820,Difficulty swallowing and Wheezing
3821,"Difficulty swallowing, Difficulty talking and Throat tightness"
3822,"Difficulty swallowing, Difficulty talking, Pain and Sore throat"
3823,"Difficulty swallowing, Dizziness, Fatigue and Headache"
3824,"Difficulty swallowing, Dizziness, Headache and Numbness or tingling"
3825,"Difficulty swallowing, Dizziness, Headache and Sore throat"
3826,"Difficulty swallowing, Drainage or pus, Smooth tongue and Swollen tonsils"
3827,"Difficulty swallowing, Drooling, Dry mouth and Excessive mouth watering"
3828,"Difficulty swallowing, Drooling, Ear ache and Excessive mouth watering"
3829,"Difficulty swallowing, Drooling, Excessive mouth watering and Fatigue"
3830,"Difficulty swallowing, Drowsiness, Dry mouth and Ear ache"
3831,"Difficulty swallowing, Dry mouth and Thick saliva or mucus"
3832,"Difficulty swallowing, Dry mouth, Frequent urination and Hoarse voice"
3833,"Difficulty swallowing, Dry mouth, Hoarse voice and Loss of voice"
3834,"Difficulty swallowing, Dry mouth, Hoarse voice and Lump or bulge"
3835,"Difficulty swallowing, Dry mouth, Increased thirst and Nasal congestion"
3836,"Difficulty swallowing, Dry mouth, Lump or bulge and Spots on throat"
3837,"Difficulty swallowing, Dry skin, Enlarged or swollen glands and Flaking skin"
3838,"Difficulty swallowing, Ear ache, Enlarged glands and Pain"
3839,"Difficulty swallowing, Ear ache, Enlarged or swollen glands and Headache"
3840,"Difficulty swallowing, Ear ache, Enlarged or swollen glands and Post nasal drip"
3841,"Difficulty swallowing, Ear ache, Gum sores and Pain"
3842,"Difficulty swallowing, Ear ache, Nausea or vomiting and Pain or discomfort"
3843,"Difficulty swallowing, Early morning waking, Enlarged glands and Fever"
3844,"Difficulty swallowing, Enlarged glands and Muffled voice"
3845,"Difficulty swallowing, Enlarged glands and Swollen tongue"
3846,"Difficulty swallowing, Enlarged glands, Gagging and Sore throat"
3847,"Difficulty swallowing, Enlarged glands, Mouth sores and Sore throat"
3848,"Difficulty swallowing, Enlarged glands, Pain and Stiff neck"
3849,"Difficulty swallowing, Enlarged glands, Sore throat and Spots on tonsils"
3850,"Difficulty swallowing, Enlarged glands, Sore throat and Swollen tonsils"
3851,"Difficulty swallowing, Enlarged glands, Stiff neck and Swollen tonsils"
3852,"Difficulty swallowing, Enlarged or swollen glands, Fever and Sore throat"
3853,"Difficulty swallowing, Enlarged or swollen glands, Heartburn and Hoarse voice"
3854,"Difficulty swallowing, Excessive mouth watering and Swollen tongue"
3855,"Difficulty swallowing, Excessive mouth watering and Swollen tonsils"
3856,"Difficulty swallowing, Excessive mouth watering and Thick saliva or mucus"
3857,"Difficulty swallowing, Eye crusting with sleep, Eye irritation and Sore throat"
3858,"Difficulty swallowing, Eye irritation, Gritty or scratchy eyes and Lump or bulge"
3859,"Difficulty swallowing, Feeling faint, Headache and Low blood pressure"
3860,"Difficulty swallowing, Fever, Pain with urination and Sore throat"
3861,"Difficulty swallowing, Food getting stuck (swallowing) and Pain when swallowing"
3862,"Difficulty swallowing, Gagging and Throat tightness"
3863,"Difficulty swallowing, Gagging, Joint pain (Shoulder) and Joint pain (Elbow)"
